timestamp,interest_name,rtt_ms,data_size,success,error_type,measured_mtu
1747656806818,/test/repeat/21ee8dd57a75/2,4,0,0,,0
1747656806848,/test/repeat/21ee8dd57a75/3,4,0,0,,0
1747656806873,/test/repeat/21ee8dd57a75/4,5,0,0,,0
1747656806899,/test/repeat/21ee8dd57a75/5,4,0,0,,0
1747656806924,/test/repeat/21ee8dd57a75/6,5,0,0,,0
1747656806949,/test/repeat/21ee8dd57a75/7,3,0,0,,0
1747656806972,/test/repeat/21ee8dd57a75/8,4,0,0,,0
1747656806997,/test/repeat/21ee8dd57a75/9,4,0,0,,0
1747656807022,/test/repeat/21ee8dd57a75/10,5,0,0,,0
1747656807048,/test/repeat/21ee8dd57a75/1,5,0,0,,0
1747656807079,/test/repeat/21ee8dd57a75/2,6,0,0,,0
1747656807118,/test/repeat/21ee8dd57a75/3,11,0,0,,0
1747656807164,/test/repeat/21ee8dd57a75/4,15,0,0,,0
1747656807210,/test/repeat/21ee8dd57a75/5,9,0,0,,0
1747656807256,/test/repeat/21ee8dd57a75/6,6,0,0,,0
1747656807292,/test/repeat/21ee8dd57a75/7,8,0,0,,0
1747656807332,/test/repeat/21ee8dd57a75/8,7,0,0,,0
1747656807368,/test/repeat/21ee8dd57a75/9,9,0,0,,0
1747656807401,/test/repeat/21ee8dd57a75/10,5,0,0,,0
1747656807429,/test/repeat/21ee8dd57a75/1,4,0,0,,0
1747656807454,/test/repeat/21ee8dd57a75/2,5,0,0,,0
1747656807483,/test/repeat/21ee8dd57a75/3,5,0,0,,0
1747656807512,/test/repeat/21ee8dd57a75/4,4,0,0,,0
1747656807540,/test/repeat/21ee8dd57a75/5,5,0,0,,0
1747656807566,/test/repeat/21ee8dd57a75/6,6,0,0,,0
1747656807595,/test/repeat/21ee8dd57a75/7,4,0,0,,0
1747656807621,/test/repeat/21ee8dd57a75/8,4,0,0,,0
1747656807648,/test/repeat/21ee8dd57a75/9,4,0,0,,0
1747656807675,/test/repeat/21ee8dd57a75/10,4,0,0,,0
1747656807702,/test/repeat/21ee8dd57a75/1,5,0,0,,0
1747656807728,/test/repeat/21ee8dd57a75/2,3,0,0,,0
1747656807756,/test/repeat/21ee8dd57a75/3,4,0,0,,0
1747656807783,/test/repeat/21ee8dd57a75/4,4,0,0,,0
1747656807810,/test/repeat/21ee8dd57a75/5,5,0,0,,0
1747656807840,/test/repeat/21ee8dd57a75/6,4,0,0,,0
