timestamp,interest_name,rtt_ms,data_size,success,error_type,measured_mtu
1747656651944,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656651974,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656652002,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656652030,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656652058,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656652086,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656652116,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656652143,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656652172,/test/mtu/03485066742d/size=10000,4,0,0,,0
1747656652201,/test/mtu/03485066742d/size=100,5,0,0,,0
1747656652230,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656652260,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656652291,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656652321,/test/mtu/03485066742d/size=10000,4,0,0,,0
1747656652350,/test/mtu/03485066742d/size=100,5,0,0,,0
1747656652380,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656652410,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656652442,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656652470,/test/mtu/03485066742d/size=10000,4,0,0,,0
1747656652502,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656652532,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656652560,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656652590,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656652619,/test/mtu/03485066742d/size=10000,7,0,0,,0
1747656652656,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656652684,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656652714,/test/mtu/03485066742d/size=1000,8,0,0,,0
1747656652755,/test/mtu/03485066742d/size=5000,6,0,0,,0
1747656652795,/test/mtu/03485066742d/size=10000,6,0,0,,0
1747656652854,/test/mtu/03485066742d/size=100,8,0,0,,0
1747656652905,/test/mtu/03485066742d/size=500,8,0,0,,0
1747656652948,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656652981,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656653013,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656653050,/test/mtu/03485066742d/size=100,5,0,0,,0
1747656653084,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656653115,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656653148,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656653178,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656653211,/test/mtu/03485066742d/size=100,5,0,0,,0
1747656653243,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656653280,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656653311,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656653342,/test/mtu/03485066742d/size=10000,4,0,0,,0
1747656653371,/test/mtu/03485066742d/size=100,6,0,0,,0
1747656653403,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656653434,/test/mtu/03485066742d/size=1000,6,0,0,,0
1747656653466,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656653498,/test/mtu/03485066742d/size=10000,4,0,0,,0
1747656653529,/test/mtu/03485066742d/size=100,8,0,0,,0
1747656653591,/test/mtu/03485066742d/size=500,7,0,0,,0
1747656653641,/test/mtu/03485066742d/size=1000,6,0,0,,0
1747656653677,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656653706,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656653738,/test/mtu/03485066742d/size=100,6,0,0,,0
1747656653770,/test/mtu/03485066742d/size=500,6,0,0,,0
1747656653802,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656653836,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656653868,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656653901,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656653932,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656653961,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656653991,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656654021,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656654054,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656654088,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656654120,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656654151,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656654183,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656654220,/test/mtu/03485066742d/size=100,4,0,0,,0
1747656654248,/test/mtu/03485066742d/size=500,4,0,0,,0
1747656654277,/test/mtu/03485066742d/size=1000,4,0,0,,0
1747656654309,/test/mtu/03485066742d/size=5000,4,0,0,,0
1747656654339,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656654371,/test/mtu/03485066742d/size=100,5,0,0,,0
1747656654399,/test/mtu/03485066742d/size=500,5,0,0,,0
1747656654429,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656654459,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656654493,/test/mtu/03485066742d/size=10000,5,0,0,,0
1747656654523,/test/mtu/03485066742d/size=100,6,0,0,,0
1747656654556,/test/mtu/03485066742d/size=500,6,0,0,,0
1747656654587,/test/mtu/03485066742d/size=1000,5,0,0,,0
1747656654615,/test/mtu/03485066742d/size=5000,5,0,0,,0
1747656654647,/test/mtu/03485066742d/size=10000,4,0,0,,0
