timestamp,interest_name,rtt_ms,data_size,success,error_type,measured_mtu
1747656651948,/test/flood/207d319fb856/1,4,0,0,,0
1747656651973,/test/flood/207d319fb856/2,3,0,0,,0
1747656651999,/test/flood/207d319fb856/3,4,0,0,,0
1747656652026,/test/flood/207d319fb856/4,4,0,0,,0
1747656652053,/test/flood/207d319fb856/5,4,0,0,,0
1747656652082,/test/flood/207d319fb856/6,4,0,0,,0
1747656652107,/test/flood/207d319fb856/7,4,0,0,,0
1747656652134,/test/flood/207d319fb856/8,4,0,0,,0
1747656652159,/test/flood/207d319fb856/9,4,0,0,,0
1747656652183,/test/flood/207d319fb856/10,4,0,0,,0
1747656652207,/test/flood/207d319fb856/11,4,0,0,,0
1747656652233,/test/flood/207d319fb856/12,4,0,0,,0
1747656652260,/test/flood/207d319fb856/13,4,0,0,,0
1747656652286,/test/flood/207d319fb856/14,5,0,0,,0
1747656652315,/test/flood/207d319fb856/15,4,0,0,,0
1747656652342,/test/flood/207d319fb856/16,4,0,0,,0
1747656652370,/test/flood/207d319fb856/17,5,0,0,,0
1747656652398,/test/flood/207d319fb856/18,4,0,0,,0
1747656652425,/test/flood/207d319fb856/19,5,0,0,,0
1747656652452,/test/flood/207d319fb856/20,5,0,0,,0
1747656652481,/test/flood/207d319fb856/21,6,0,0,,0
1747656652509,/test/flood/207d319fb856/22,6,0,0,,0
1747656652536,/test/flood/207d319fb856/23,5,0,0,,0
1747656652562,/test/flood/207d319fb856/24,5,0,0,,0
1747656652590,/test/flood/207d319fb856/25,5,0,0,,0
1747656652619,/test/flood/207d319fb856/26,5,0,0,,0
1747656652654,/test/flood/207d319fb856/27,4,0,0,,0
1747656652682,/test/flood/207d319fb856/28,4,0,0,,0
1747656652711,/test/flood/207d319fb856/29,6,0,0,,0
1747656652746,/test/flood/207d319fb856/30,5,0,0,,0
1747656652776,/test/flood/207d319fb856/31,10,0,0,,0
1747656652836,/test/flood/207d319fb856/32,6,0,0,,0
1747656652890,/test/flood/207d319fb856/33,6,0,0,,0
1747656652930,/test/flood/207d319fb856/34,7,0,0,,0
1747656652966,/test/flood/207d319fb856/35,4,0,0,,0
1747656652993,/test/flood/207d319fb856/36,6,0,0,,0
1747656653024,/test/flood/207d319fb856/37,7,0,0,,0
1747656653059,/test/flood/207d319fb856/38,4,0,0,,0
1747656653087,/test/flood/207d319fb856/39,6,0,0,,0
1747656653117,/test/flood/207d319fb856/40,4,0,0,,0
1747656653145,/test/flood/207d319fb856/41,4,0,0,,0
1747656653173,/test/flood/207d319fb856/42,4,0,0,,0
1747656653201,/test/flood/207d319fb856/43,4,0,0,,0
1747656653231,/test/flood/207d319fb856/44,4,0,0,,0
1747656653258,/test/flood/207d319fb856/45,7,0,0,,0
1747656653289,/test/flood/207d319fb856/46,4,0,0,,0
1747656653316,/test/flood/207d319fb856/47,4,0,0,,0
1747656653344,/test/flood/207d319fb856/48,4,0,0,,0
1747656653372,/test/flood/207d319fb856/49,4,0,0,,0
1747656653402,/test/flood/207d319fb856/50,4,0,0,,0
1747656653432,/test/flood/207d319fb856/51,4,0,0,,0
1747656653459,/test/flood/207d319fb856/52,5,0,0,,0
1747656653487,/test/flood/207d319fb856/53,4,0,0,,0
1747656653514,/test/flood/207d319fb856/54,5,0,0,,0
1747656653584,/test/flood/207d319fb856/55,15,0,0,,0
1747656653640,/test/flood/207d319fb856/56,5,0,0,,0
1747656653672,/test/flood/207d319fb856/57,5,0,0,,0
1747656653700,/test/flood/207d319fb856/58,6,0,0,,0
1747656653729,/test/flood/207d319fb856/59,5,0,0,,0
1747656653756,/test/flood/207d319fb856/60,5,0,0,,0
1747656653787,/test/flood/207d319fb856/61,4,0,0,,0
1747656653819,/test/flood/207d319fb856/62,4,0,0,,0
1747656653850,/test/flood/207d319fb856/63,6,0,0,,0
1747656653883,/test/flood/207d319fb856/64,5,0,0,,0
1747656653914,/test/flood/207d319fb856/65,5,0,0,,0
1747656653944,/test/flood/207d319fb856/66,4,0,0,,0
1747656653970,/test/flood/207d319fb856/67,4,0,0,,0
1747656653998,/test/flood/207d319fb856/68,5,0,0,,0
1747656654033,/test/flood/207d319fb856/69,6,0,0,,0
1747656654063,/test/flood/207d319fb856/70,6,0,0,,0
