timestamp,interest_name,rtt_ms,data_size,success,error_type,measured_mtu
1747659067087,/test/repeat/eb5b733f0030/2,5,0,0,,0
1747659067112,/test/repeat/eb5b733f0030/3,4,0,0,,0
1747659067139,/test/repeat/eb5b733f0030/4,4,0,0,,0
1747659067165,/test/repeat/eb5b733f0030/5,5,0,0,,0
1747659067191,/test/repeat/eb5b733f0030/6,4,0,0,,0
1747659067218,/test/repeat/eb5b733f0030/7,4,0,0,,0
1747659067246,/test/repeat/eb5b733f0030/8,4,0,0,,0
1747659067274,/test/repeat/eb5b733f0030/9,4,0,0,,0
1747659067302,/test/repeat/eb5b733f0030/10,4,0,0,,0
1747659067330,/test/repeat/eb5b733f0030/1,4,0,0,,0
1747659067359,/test/repeat/eb5b733f0030/2,5,0,0,,0
1747659067388,/test/repeat/eb5b733f0030/3,5,0,0,,0
1747659067423,/test/repeat/eb5b733f0030/4,5,0,0,,0
1747659067460,/test/repeat/eb5b733f0030/5,6,0,0,,0
1747659067495,/test/repeat/eb5b733f0030/6,5,0,0,,0
1747659067530,/test/repeat/eb5b733f0030/7,6,0,0,,0
1747659067564,/test/repeat/eb5b733f0030/8,4,0,0,,0
1747659067597,/test/repeat/eb5b733f0030/9,5,0,0,,0
1747659067628,/test/repeat/eb5b733f0030/10,4,0,0,,0
1747659067659,/test/repeat/eb5b733f0030/1,6,0,0,,0
1747659067693,/test/repeat/eb5b733f0030/2,4,0,0,,0
1747659067722,/test/repeat/eb5b733f0030/3,6,0,0,,0
1747659067758,/test/repeat/eb5b733f0030/4,6,0,0,,0
1747659067796,/test/repeat/eb5b733f0030/5,5,0,0,,0
1747659067828,/test/repeat/eb5b733f0030/6,5,0,0,,0
1747659067866,/test/repeat/eb5b733f0030/7,6,0,0,,0
1747659067896,/test/repeat/eb5b733f0030/8,5,0,0,,0
1747659067934,/test/repeat/eb5b733f0030/9,5,0,0,,0
1747659067965,/test/repeat/eb5b733f0030/10,7,0,0,,0
1747659068000,/test/repeat/eb5b733f0030/1,7,0,0,,0
1747659068033,/test/repeat/eb5b733f0030/2,5,0,0,,0
1747659068066,/test/repeat/eb5b733f0030/3,8,0,0,,0
1747659068101,/test/repeat/eb5b733f0030/4,5,0,0,,0
1747659068134,/test/repeat/eb5b733f0030/5,6,0,0,,0
1747659068171,/test/repeat/eb5b733f0030/6,5,0,0,,0
1747659068207,/test/repeat/eb5b733f0030/7,8,0,0,,0
1747659068240,/test/repeat/eb5b733f0030/8,8,0,0,,0
1747659068283,/test/repeat/eb5b733f0030/9,5,0,0,,0
1747659068319,/test/repeat/eb5b733f0030/10,7,0,0,,0
1747659068358,/test/repeat/eb5b733f0030/1,6,0,0,,0
1747659068391,/test/repeat/eb5b733f0030/2,5,0,0,,0
1747659068420,/test/repeat/eb5b733f0030/3,5,0,0,,0
1747659068450,/test/repeat/eb5b733f0030/4,5,0,0,,0
1747659068482,/test/repeat/eb5b733f0030/5,5,0,0,,0
1747659068512,/test/repeat/eb5b733f0030/6,5,0,0,,0
1747659068545,/test/repeat/eb5b733f0030/7,6,0,0,,0
1747659068578,/test/repeat/eb5b733f0030/8,4,0,0,,0
1747659068608,/test/repeat/eb5b733f0030/9,5,0,0,,0
1747659068641,/test/repeat/eb5b733f0030/10,6,0,0,,0
1747659068678,/test/repeat/eb5b733f0030/1,8,0,0,,0
1747659068722,/test/repeat/eb5b733f0030/2,7,0,0,,0
1747659068766,/test/repeat/eb5b733f0030/3,6,0,0,,0
